Time,Mal_0,Fum_0,TP,PEP,Pyr,Starch_0,P,R,T,
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.88311,0.47911,20.0,Col0
480,0.0439,0.0418,0.0001,0.0001,0.0001,0.39,1.88311,0.47911,20.0,Fum2
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.76711,0.51111,20.0,C24
480,0.0645,0.0001,0.0001,0.0001,0.0001,0.444222,1.76711,0.51111,20.0,Col0
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.72411,0.55211,20.0,Fum2
480,0.0469,0.0222,0.0001,0.0001,0.0001,0.4622,1.72411,0.55211,20.0,C24
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.5068,0.4452,5.0,Col0
480,0.0435,0.0658,0.0001,0.0001,0.0001,0.42312,1.5068,0.4452,5.0,Fum2
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.43333,0.45333,5.0,C24
480,0.0963,0.0001,0.0001,0.0001,0.0001,0.47512,1.43333,0.45333,5.0,Col0
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.48275,0.41379,5.0,Fum2
480,0.0491,0.0363,0.0001,0.0001,0.0001,0.5412,1.48275,0.41379,5.0,C24
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.88483,0.51369,30.0,Col0
480,0.0448,0.0551,0.0001,0.0001,0.0001,0.3622,1.88483,0.51369,30.0,Fum2
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.76111,0.53333,30.0,C24
480,0.0811,0.0001,0.0001,0.0001,0.0001,0.42511,1.76111,0.53333,30.0,Col0
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.82758,0.51724,30.0,Fum2
480,0.0501,0.0261,0.0001,0.0001,0.0001,0.42511,1.82758,0.51724,30.0,C24
