Time,Col0_0M_5,Col0_0M_10,Col0_0M_15,Col0_0M_20,Col0_0M_25,Col0_0M_30,Col0_0F_5,Col0_0F_10,Col0_0F_15,Col0_0F_20,Col0_0F_25,Col0_0F_30,Col0_7M_5,Col0_7M_10,Col0_7M_15,Col0_7M_20,Col0_7M_25,Col0_7M_30,Col0_7F_5,Col0_7F_10,Col0_7F_15,Col0_7F_20,Col0_7F_25,Col0_7F_30,TP,PEP,Pyr,OAA
60,0.002013991,0.002672303,0.002068504,0.00245059,0.002355842,0.002064854,0.002506854,0.002523899,0.005179681,0.00347132,0.003604221,0.00436457,0.01075476,0.01165469,0.00683843,0.005076342,0.006053353,0.006430426,0.00653698,0.005400264,0.004220175,0.003424958,0.005946653,0.005684005,0.001,0.001,0.001,0.001
120,0.003572175,0.003919824,0.003545018,0.003984151,0.003816963,0.003718947,0.004909488,0.004169968,0.006601056,0.004490548,0.004834472,0.006507629,0.01308062,0.01354154,0.00797312,0.006750372,0.007707423,0.008421,0.009317547,0.006873785,0.005120674,0.004966277,0.007277412,0.00728065,0.001,0.001,0.001,0.001
180,0.00513036,0.005167344,0.005021532,0.005517712,0.005278085,0.005373039,0.007312121,0.005816038,0.008022431,0.005509777,0.006064722,0.008650687,0.01540648,0.01542839,0.00910781,0.008424402,0.009361494,0.010411573,0.012098114,0.008347306,0.006021172,0.006507596,0.008608171,0.008877295,0.001,0.001,0.001,0.001
240,0.006688545,0.006414865,0.006498045,0.007051273,0.006739207,0.007027132,0.009714755,0.007462107,0.009443806,0.006529006,0.007294973,0.010793746,0.01773234,0.01731524,0.0102425,0.010098433,0.011015564,0.012402146,0.014878681,0.009820827,0.006921671,0.008048916,0.00993893,0.01047394,0.001,0.001,0.001,0.001
300,0.008246729,0.007662386,0.007974559,0.008584833,0.008200329,0.008681224,0.012117389,0.009108177,0.010865181,0.007548235,0.008525223,0.012936805,0.0200582,0.01920209,0.01137719,0.011772463,0.012669634,0.014392719,0.017659249,0.011294348,0.00782217,0.009590235,0.011269689,0.012070585,0.001,0.001,0.001,0.001
360,0.009804914,0.008909906,0.009451073,0.010118394,0.00966145,0.010335316,0.014520023,0.010754246,0.012286556,0.008567463,0.009755474,0.015079863,0.02238406,0.02108894,0.01251188,0.013446493,0.014323705,0.016383292,0.020439816,0.012767868,0.008722668,0.011131555,0.012600448,0.01366723,0.001,0.001,0.001,0.001
420,0.011363098,0.010157427,0.010927587,0.011651955,0.011122572,0.011989409,0.016922656,0.012400315,0.013707931,0.009586692,0.010985724,0.017222922,0.02470992,0.02297579,0.01364657,0.015120523,0.015977775,0.018373865,0.023220383,0.014241389,0.009623167,0.012672874,0.013931207,0.015263875,0.001,0.001,0.001,0.001
480,0.012921283,0.011404948,0.012404101,0.013185516,0.012583694,0.013643501,0.01932529,0.014046385,0.015129306,0.010605921,0.012215975,0.019365981,0.02703578,0.02486264,0.01478126,0.016794554,0.017631846,0.020364439,0.02600095,0.01571491,0.010523665,0.014214193,0.015261966,0.01686052,0.001,0.001,0.001,0.001
Time,Fum2_0M_5,Fum2_0M_10,Fum2_0M_15,Fum2_0M_20,Fum2_0M_25,Fum2_0M_30,Fum2_0F_5,Fum2_0F_10,Fum2_0F_15,Fum2_0F_20,Fum2_0F_25,Fum2_0F_30,Fum2_7M_5,Fum2_7M_10,Fum2_7M_15,Fum2_7M_20,Fum2_7M_25,Fum2_7M_30,Fum2_7F_5,Fum2_7F_10,Fum2_7F_15,Fum2_7F_20,Fum2_7F_25,Fum2_7F_30,TP,PEP,Pyr,OAA
60,0.003608587,0.002315489,0.003897255,0.003383858,0.007113689,0.004995124,0.001,0.001,0.001,0.001,0.001,0.01,0.01507025,0.01280342,0.008378769,0.006705593,0.01057689,0.009080927,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
